"spkid","rot_per(h)","diameter(km)","a(AU)","e","i(deg)","H(mag)"
20137052,9.007,,1.248,0.8095,14.91,17.06
20137062,2.58,1.265,1.225,0.3154,22.52,16.70
20137064,13.777,,1.374,0.1950,19.50,18.83
20137078,,,1.938,0.6383,23.16,16.43
20137084,5.419,1.228,1.212,0.4965,26.55,16.49
20137099,,0.564,1.1,0.4626,28.79,18.29
20137108,5.041,,1.459,0.5621,39.93,18.05
20137120,,,1.899,0.5503,8.99,18.30
20137125,,,1.427,0.1319,34.23,18.80
20137126,,,1.773,0.6000,5.55,18.13
20137158,6.074,,1.18,0.6070,12.90,17.92
20137170,2.3192,,0.8192,0.4625,25.66,14.68
20137175,,,1.262,0.3412,16.43,18.33
20137199,2.7697,,1.457,0.2927,16.57,16.98
20137427,,,2.44,0.6114,39.48,15.30
20137671,,,1.435,0.1842,21.10,18.70
20137799,9.39,,1.321,0.0748,6.79,18.61
20137802,,,1.776,0.3521,31.59,17.04
20137805,3.93,2.243,0.8294,0.5582,16.75,16.73
20137911,,,2.305,0.4940,3.76,17.73
20137924,10.57,0.970,0.8764,0.8949,25.74,17.49
20137925,48,1.372,1.292,0.7637,31.11,16.07
20138013,,3.518,1.598,0.6348,15.98,14.75
20138095,4.243,,1.776,0.4146,60.69,15.98
20138127,2.586,0.754,0.6618,0.5331,26.46,17.11
20138155,5.131,,1.808,0.3195,25.45,17.23
20138175,13.324,,1.004,0.2931,5.24,20.49
20138205,,,2.583,0.6126,11.19,15.13
20138258,,,0.7578,0.4768,32.14,18.97
20138325,6.122,,2.162,0.8051,25.75,16.68
20138359,3.685,1.085,1.142,0.3613,20.24,17.99
20138404,3.9077,,1.139,0.3185,2.16,19.36
20138524,2.6835,,2.357,0.5679,6.25,16.88
20138727,,,2.105,0.6048,11.91,19.34
20138815,,,2.089,0.3817,8.25,18.00
20138846,2.62,,2.183,0.5645,18.68,16.11
20138847,7.6,0.965,1.619,0.2876,22.18,17.08
20138852,4.4622,,1.001,0.2980,21.51,20.32
20138859,,,1.573,0.5321,13.16,18.98
20138877,8.71,,2.14,0.5429,25.32,16.82
20138883,10.592,1.222,1.536,0.3439,21.89,16.86
20138893,5.3,,1.173,0.7435,18.34,18.16
20138911,15.88,,1.35,0.0817,1.66,19.43
20138925,5.2561,,1.897,0.3765,72.15,16.00
20138937,15.06,,2.073,0.6780,31.81,17.65
20138947,,0.447,1.119,0.2537,12.84,18.82
20138971,3.303,,1.034,0.3333,7.92,18.53
20139047,,,1.862,0.3858,47.00,17.48
20139056,5.207,0.32,1.887,0.3273,4.73,19.18
20139211,,,1.861,0.4517,26.06,17.74
20139289,11.3,1.126,1.26,0.8413,23.26,17.75
20139345,44.25,2.586,1.805,0.7017,22.27,16.75
20139359,,,2.633,0.8702,5.96,16.53
20139622,,,1.423,0.3111,9.32,18.50
20140039,,,1.82,0.5689,4.86,18.11
20140158,3.143,0.566,1.347,0.4611,2.52,18.50
20140288,6.58,1.263,1.785,0.5077,53.22,16.74
20140333,,,0.9618,0.4817,19.03,19.24
20140928,17.692,,1.519,0.2969,20.66,18.29
20141018,16.51,,1.399,0.2412,2.87,19.04
20141052,7.658,,1.245,0.5501,17.66,17.49
20141053,,,1.528,0.5796,2.73,18.86
20141056,2.671,,1.817,0.4440,28.86,17.33
20141078,,,1.863,0.4509,11.47,18.74
20141079,3.761,,1.164,0.8282,28.53,17.76
20141354,10.801,,1.991,0.4500,10.92,17.38
20141424,,,0.9799,0.1768,6.88,20.65
20141432,2.605,0.239,0.9762,0.4276,2.47,20.06
20141447,,,2.389,0.5025,31.98,17.13
